name,pull_count,size_mb,size_source,est_tb,est_cost_low,est_cost_high,date_registered
mongo,4784689318,941.222,median,4503456.945,90069138.9,405311125.05,2014-06-06T21:51:06Z
mysql,5008536621,270.174,latest,1353177.6452,27063552.9,121785988.07,2014-06-05T19:41:56Z
sonarqube,1212125634,1076.969,latest,1305422.0022,26108440.04,117487980.2,2015-05-20T22:20:50.835749Z
postgres,10856245227,115.523,median,1254147.9281,25082958.56,112873313.53,2014-06-05T20:01:35Z
openjdk,2610392877,419.959,median,1096257.361,21925147.22,98663162.49,2016-08-11T22:53:09.057213Z
elasticsearch,961659808,721.603,median,693936.1793,13878723.59,62454256.14,2015-02-06T18:31:40.822107Z
ruby,1553455325,428.67,latest,665919.0169,13318380.34,59932711.52,2014-06-06T22:54:28Z
node,6588005506,81.487,median,536838.5834,10736771.67,48315472.51,2014-06-05T19:19:53Z
mariadb,3118328157,163.94,median,511219.4477,10224388.95,46009750.3,2014-11-25T23:08:03.441528Z
nextcloud,1015133961,503.503,latest,511123.348,10222466.96,46001101.32,2016-12-30T18:54:29.826116Z
docker,3507659323,142.09,latest,498404.1094,9968082.19,44856369.85,2015-08-21T19:51:50.302672Z
rabbitmq,3822019142,116.118,latest,443804.355,8876087.1,39942391.95,2015-01-01T01:17:57.453727Z
memcached,13198050626,32.205,latest,425040.858,8500817.16,38253677.22,2015-01-01T01:13:49.166092Z
ubuntu,9925592356,41.563,latest,412533.6928,8250673.86,37128032.36,2013-04-30T20:54:50Z
redis,10859889823,37.625,median,408608.1981,8172163.96,36774737.83,2014-06-05T20:04:50Z
nginx,13102789049,25.983,median,340448.6279,6808972.56,30640376.51,2014-06-05T19:14:45Z
golang,2573814908,106.649,median,274494.8196,5489896.39,24704533.76,2014-08-05T15:28:00.692549Z
httpd,4715409591,45.236,latest,213304.5707,4266091.41,19197411.36,2014-11-03T20:13:35.098911Z
traefik,3501988894,52.949,latest,185425.4372,3708508.74,16688289.35,2016-04-06T18:20:12.627239Z
solr,353794246,468.228,latest,165656.3053,3313126.11,14909067.48,2015-10-16T23:15:45.859085Z
python,8875059031,18.296,median,162373.962,3247479.24,14613656.58,2014-06-24T09:53:24Z
maven,752497932,174.606,median,131390.6163,2627812.33,11825155.47,2014-11-03T17:52:01.032704Z
tomcat,816252347,158.107,latest,129054.8213,2581096.43,11614933.92,2014-10-27T17:28:47.715247Z
neo4j,315329431,371.214,latest,117054.6811,2341093.62,10534921.3,2015-10-20T21:03:16.367052Z
telegraf,636770191,175.318,latest,111637.4585,2232749.17,10047371.26,2016-05-12T16:50:53.658088Z
wordpress,1471343735,72.961,median,107351.415,2147028.3,9661627.35,2014-06-05T19:59:25Z
logstash,201507558,517.999,median,104380.7559,2087615.12,9394268.03,2015-03-05T00:12:38.875879Z
gradle,293857773,344.863,median,101340.6929,2026813.86,9120662.36,2017-03-23T18:41:46.707682Z
kibana,223355787,453.188,median,101222.2033,2024444.07,9109998.29,2015-06-09T20:31:08.808541Z
